start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-04T12:49:08.861928,21,male,1.68,0.385,112.417,155.287,15.072,0.974,1.639,0.32,1
2025-04-04T12:50:07.954733,21,male,1.68,0.385,117.726,150.962,11.764,0.731,1.501,0.32,2
2025-04-04T12:50:46.370550,21,male,1.68,0.385,110.717,149.404,13.58,0.865,1.342,0.36,3
2025-04-04T12:51:35.253590,21,male,1.68,0.385,116.582,144.794,10.112,0.667,1.228,0.36,4
2025-04-04T12:52:33.809369,21,male,1.68,0.385,109.08,150.015,14.653,0.973,1.464,0.32,5
2025-04-04T12:53:36.037742,21,male,1.68,0.385,106.127,145.894,14.223,1.132,1.567,0.28,6
2025-04-04T12:54:38.559899,21,male,1.68,0.385,107.777,147.162,13.908,0.899,1.404,0.36,7
2025-04-04T12:55:32.835653,21,male,1.68,0.385,106.605,153.084,16.5,1.051,1.659,0.32,8
2025-04-04T12:56:36.649331,21,male,1.68,0.385,110.505,152.666,14.96,1.037,1.485,0.32,9
2025-04-04T12:57:29.890972,21,male,1.68,0.385,110.039,142.626,11.951,0.942,1.227,0.28,10
2025-04-04T12:58:57.705058,21,male,1.68,0.385,113.07,151.447,13.579,0.924,1.6,0.32,11
2025-04-04T13:00:05.879323,21,male,1.68,0.385,102.199,155.527,18.669,1.108,1.135,0.36,12
