start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-01T11:14:38.131963,21,male,1.84,0.409,111.296,156.257,17.391,1.192,1.432,0.32,1
2025-04-01T11:14:54.437087,21,male,1.84,0.409,110.598,154.605,18.128,1.206,1.268,0.32,2
2025-04-01T11:15:12.690091,21,male,1.84,0.409,113.035,148.868,14.383,1.156,1.264,0.28,3
2025-04-01T11:15:30.280352,21,male,1.84,0.409,110.708,155.984,17.742,0.988,1.232,0.36,4
2025-04-01T11:16:15.868780,21,male,1.84,0.409,95.551,146.105,20.08,1.281,1.516,0.36,5
2025-04-01T11:17:21.359160,21,male,1.84,0.409,94.391,155.172,22.975,1.254,1.461,0.4,6
2025-04-01T11:17:37.232646,21,male,1.84,0.409,101.014,156.834,21.35,1.158,1.369,0.4,7
2025-04-01T11:17:53.851310,21,male,1.84,0.409,88.622,153.8,25.631,1.493,2.063,0.36,8
2025-04-01T11:18:10.509106,21,male,1.84,0.409,94.363,157.092,23.254,1.13,1.517,0.44,9
2025-04-01T11:18:27.631552,21,male,1.84,0.409,97.315,157.971,22.674,1.104,1.328,0.44,10
2025-04-01T11:18:47.006797,21,male,1.84,0.409,99.681,150.472,19.99,1.254,1.31,0.36,11
2025-04-01T11:20:48.056488,21,male,1.84,0.409,124.966,154.686,12.323,1.082,1.377,0.24,1
2025-04-01T11:21:02.399902,21,male,1.84,0.409,106.254,154.802,19.869,1.17,1.392,0.36,2
2025-04-01T11:21:20.871405,21,male,1.84,0.409,106.709,157.708,19.472,1.14,1.176,0.36,3
2025-04-01T11:21:47.505479,21,male,1.84,0.409,93.133,157.173,23.394,1.182,1.454,0.44,4
2025-04-01T11:22:01.339147,21,male,1.84,0.409,116.491,153.766,14.27,0.749,0.781,0.4,5
2025-04-01T11:22:16.473786,21,male,1.84,0.409,96.991,155.174,21.848,1.066,1.113,0.44,6
2025-04-01T11:22:30.545156,21,male,1.84,0.409,89.781,153.005,23.931,1.238,1.436,0.44,7
2025-04-01T11:22:45.018811,21,male,1.84,0.409,92.222,154.006,23.088,1.223,1.387,0.4,8
2025-04-01T11:22:59.999924,21,male,1.84,0.409,103.538,157.085,20.11,0.985,1.22,0.44,9
2025-04-01T11:23:15.394095,21,male,1.84,0.409,96.269,148.767,20.309,1.088,1.537,0.4,10
2025-04-01T11:23:32.043380,21,male,1.84,0.409,93.238,143.945,20.387,1.299,1.517,0.36,11
