start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-04T08:36:06.801082,21,male,1.68,0.255,21.463,154.833,64.189,2.6,3.3,0.36,1
2025-04-04T08:36:20.262849,21,male,1.68,0.255,13.595,174.653,87.95,2.022,3.3,1.32,2
2025-04-04T08:36:38.611548,21,male,1.68,0.255,11.56,174.014,87.716,1.658,3.3,1.64,3
2025-04-04T08:36:59.152348,21,male,1.68,0.255,11.23,175.272,86.878,1.542,3.3,1.72,4
2025-04-04T08:37:18.935385,21,male,1.68,0.255,13.028,172.934,85.738,1.516,3.3,1.72,5
2025-04-04T08:37:35.525671,21,male,1.68,0.255,11.712,175.009,92.404,1.919,3.3,1.48,6
2025-04-04T08:37:52.944707,21,male,1.68,0.255,10.818,175.006,87.284,1.539,3.3,1.72,7
2025-04-04T08:38:08.692529,21,male,1.68,0.255,12.764,169.533,82.413,1.53,3.3,1.64,8
2025-04-04T08:38:23.727578,21,male,1.68,0.255,11.264,169.468,91.569,1.9,3.3,1.56,9
2025-04-04T08:38:46.055840,21,male,1.68,0.255,13.322,177.018,90.072,1.093,3.3,2.44,10
