start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-03-28T12:03:32.666430,21,male,1.68,0.25,27.31,146.6,59.973,2.3,2.4,0.36,1
2025-03-28T12:03:35.615299,21,male,1.68,0.25,24.4,176.7,86.385,1.99,2.0,1.28,2
2025-03-28T12:03:39.631092,21,male,1.68,0.25,26.18,177.56,86.318,2.07,2.17,1.32,3
2025-03-28T12:03:43.758186,21,male,1.68,0.25,21.67,177.12,91.422,2.13,2.23,1.36,4
2025-03-28T12:03:47.602501,21,male,1.68,0.25,16.44,175.87,89.547,2.17,2.27,1.24,5
2025-03-28T12:03:51.876783,21,male,1.68,0.25,15.91,177.0,85.305,1.81,2.0,1.48,6
2025-03-28T12:03:56.513555,21,male,1.68,0.25,15.44,178.67,90.376,1.78,2.0,1.56,7
2025-03-28T12:04:00.840153,21,male,1.68,0.25,12.49,179.29,90.426,1.95,2.0,1.4,8
2025-03-28T12:04:05.231893,21,male,1.68,0.25,15.97,179.33,88.218,1.87,2.0,1.44,9
2025-03-28T12:04:11.217212,21,male,1.68,0.25,18.28,179.9,86.181,1.15,2.0,2.28,10
2025-03-28T12:05:02.603091,21,male,1.68,0.25,28.36,173.35,70.81,2.3,2.4,0.44,1
2025-03-28T12:05:05.911681,21,male,1.68,0.25,28.99,176.12,83.573,2.06,2.16,1.28,2
2025-03-28T12:05:10.871426,21,male,1.68,0.25,28.3,172.18,81.955,1.54,2.0,1.64,3
2025-03-28T12:05:16.264340,21,male,1.68,0.25,21.24,171.76,84.571,1.58,2.0,1.72,4
2025-03-28T12:05:21.707764,21,male,1.68,0.25,25.99,173.03,80.015,1.35,2.0,1.72,5
2025-03-28T12:05:26.681582,21,male,1.68,0.25,18.57,174.48,83.955,1.74,2.0,1.48,6
2025-03-28T12:05:31.985079,21,male,1.68,0.25,16.81,174.08,83.996,1.45,2.0,1.76,7
2025-03-28T12:05:37.339862,21,male,1.68,0.25,18.89,171.3,83.35,1.62,2.0,1.64,8
2025-03-28T12:05:42.397560,21,male,1.68,0.25,16.69,172.48,86.815,1.71,2.0,1.56,9
2025-03-28T12:05:49.241247,21,male,1.68,0.25,21.47,177.55,84.019,1.04,2.0,2.44,10
