start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-03T11:19:15.687561,21,male,1.84,0.815,63.46,169.282,44.877,0.638,1.154,1.48,1
2025-04-03T11:19:41.588671,21,male,1.84,0.815,67.096,168.273,42.7,0.678,1.569,1.32,2
2025-04-03T11:20:01.326947,21,male,1.84,0.815,64.513,161.384,40.705,0.71,1.685,1.2,3
2025-04-03T11:20:21.970251,21,male,1.84,0.815,65.199,165.711,42.358,0.714,1.355,1.24,4
2025-04-03T11:20:42.984948,21,male,1.84,0.815,62.638,161.473,41.778,0.677,1.512,1.32,5
2025-04-03T11:21:04.205747,21,male,1.84,0.815,64.142,163.884,42.008,0.698,1.335,1.28,6
2025-04-03T11:21:25.229229,21,male,1.84,0.815,59.945,165.926,44.726,0.689,1.393,1.32,7
2025-04-03T11:21:47.254618,21,male,1.84,0.815,61.335,165.498,43.753,0.647,1.349,1.4,8
2025-04-03T11:22:14.700485,21,male,1.84,0.815,64.977,167.425,43.266,0.707,1.392,1.28,9
2025-04-03T11:22:35.821439,21,male,1.84,0.815,62.411,165.596,43.422,0.731,1.369,1.24,10
2025-04-03T11:22:57.265003,21,male,1.84,0.815,62.249,162.65,42.27,0.716,1.47,1.24,11
