start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-03-31T10:35:13.418571,21,male,1.84,0.815,103.04,169.776,28.321,0.715,1.637,0.76,1
2025-03-31T10:35:28.875005,21,male,1.84,0.815,93.782,169.884,32.566,0.838,1.637,0.76,2
2025-03-31T10:35:44.129727,21,male,1.84,0.815,92.422,168.833,32.347,0.816,1.396,0.8,3
2025-03-31T10:36:01.546681,21,male,1.84,0.815,91.84,166.989,31.791,0.798,1.105,0.8,4
2025-03-31T10:36:20.495824,21,male,1.84,0.815,87.679,169.728,34.762,0.79,1.236,0.88,5
2025-03-31T10:36:40.050748,21,male,1.84,0.815,88.554,167.952,33.655,0.782,1.177,0.84,6
2025-03-31T10:36:59.298458,21,male,1.84,0.815,89.235,164.52,31.879,0.79,1.135,0.84,7
2025-03-31T10:37:17.168799,21,male,1.84,0.815,92.816,168.557,32.047,0.742,1.116,0.88,8
2025-03-31T10:37:33.233302,21,male,1.84,0.815,89.48,168.981,33.627,0.83,1.154,0.8,9
2025-03-31T10:37:59.281931,21,male,1.84,0.815,86.336,156.273,29.594,0.882,1.163,0.72,10
2025-03-31T10:39:14.636186,21,male,1.84,0.815,94.733,162.789,29.08,0.758,1.18,0.8,1
2025-03-31T10:39:30.581135,21,male,1.84,0.815,93.589,168.71,32.101,0.779,1.137,0.8,2
2025-03-31T10:39:45.455606,21,male,1.84,0.815,96.786,165.412,29.323,0.748,0.996,0.8,3
2025-03-31T10:40:00.780983,21,male,1.84,0.815,96.101,162.648,28.115,0.738,1.042,0.8,4
2025-03-31T10:40:16.920043,21,male,1.84,0.815,96.009,166.625,29.914,0.742,0.996,0.8,5
2025-03-31T10:40:32.805106,21,male,1.84,0.815,94.988,163.289,29.023,0.731,1.061,0.8,6
2025-03-31T10:40:48.720764,21,male,1.84,0.815,95.594,166.577,30.277,0.722,1.054,0.84,7
2025-03-31T10:41:02.409126,21,male,1.84,0.815,96.218,165.287,29.413,0.755,1.149,0.76,8
2025-03-31T10:41:17.231499,21,male,1.84,0.815,95.717,161.409,27.961,0.735,1.072,0.8,9
2025-03-31T10:41:31.846059,21,male,1.84,0.815,92.819,162.423,29.268,0.765,1.002,0.8,10
2025-03-31T10:41:46.562930,21,male,1.84,0.815,93.484,166.73,30.796,0.792,1.155,0.8,11
