start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-04T12:19:15.835900,21,male,1.68,0.492,102.332,149.871,26.418,1.728,1.828,1.0,1
2025-04-04T12:19:54.241370,21,male,1.68,0.492,106.59,150.326,24.768,1.349,1.449,1.04,2
2025-04-04T12:20:40.751211,21,male,1.68,0.492,107.822,147.498,22.327,1.201,1.301,1.04,3
2025-04-04T12:21:23.080371,21,male,1.68,0.492,111.108,150.566,22.496,1.477,1.866,1.0,4
2025-04-04T12:22:01.981498,21,male,1.68,0.492,104.797,148.91,24.845,1.567,1.805,0.96,5
2025-04-04T12:22:50.863328,21,male,1.68,0.492,108.815,150.215,23.168,1.341,1.535,1.08,6
2025-04-04T12:23:38.436596,21,male,1.68,0.492,101.036,152.154,28.461,1.546,2.189,1.12,7
2025-04-04T12:24:30.478671,21,male,1.68,0.492,110.624,156.467,26.326,1.399,1.579,1.16,8
2025-04-04T12:25:16.093068,21,male,1.68,0.492,109.028,152.732,24.712,1.169,1.44,1.16,9
2025-04-04T12:26:12.671158,21,male,1.68,0.492,111.043,157.779,26.316,1.158,1.592,1.36,10
