start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-01T10:20:27.643066,21,male,1.84,0.522,102.332,149.871,28.015,1.832,1.932,1.0,1
2025-04-01T10:20:42.783583,21,male,1.84,0.522,106.59,150.326,26.265,1.431,1.531,1.04,2
2025-04-01T10:20:56.686050,21,male,1.84,0.522,107.822,147.498,23.676,1.274,1.374,1.04,3
2025-04-01T10:21:09.530834,21,male,1.84,0.522,111.108,150.566,23.856,1.566,1.978,1.0,4
2025-04-01T10:21:21.592042,21,male,1.84,0.522,104.797,148.91,26.346,1.662,1.914,0.96,5
2025-04-01T10:21:35.293837,21,male,1.84,0.522,108.815,150.215,24.567,1.422,1.628,1.08,6
2025-04-01T10:21:49.363851,21,male,1.84,0.522,101.036,152.154,30.181,1.639,2.321,1.12,7
2025-04-01T10:22:03.879424,21,male,1.84,0.522,110.624,156.467,27.916,1.483,1.675,1.16,8
2025-04-01T10:22:17.554317,21,male,1.84,0.522,109.028,152.732,26.205,1.239,1.527,1.16,9
2025-04-01T10:22:32.845855,21,male,1.84,0.522,111.043,157.779,27.906,1.228,1.688,1.36,10
2025-04-01T10:23:13.731683,21,male,1.84,0.522,108.127,161.79,32.133,2.478,2.578,0.8,1
2025-04-01T10:23:30.682214,21,male,1.84,0.522,107.678,158.051,30.292,1.813,2.08,0.96,2
2025-04-01T10:23:44.330598,21,male,1.84,0.522,109.941,160.205,30.13,1.945,2.881,1.0,3
2025-04-01T10:23:57.147467,21,male,1.84,0.522,108.992,160.293,30.706,1.966,2.387,0.92,4
2025-04-01T10:24:09.961241,21,male,1.84,0.522,108.035,162.861,32.521,2.17,2.9,0.96,5
2025-04-01T10:24:22.909148,21,male,1.84,0.522,108.027,161.529,31.643,2.163,2.421,0.96,6
2025-04-01T10:24:36.345857,21,male,1.84,0.522,111.624,163.264,30.926,1.916,2.291,0.96,7
2025-04-01T10:24:50.459437,21,male,1.84,0.522,106.526,162.839,34.64,2.196,2.645,1.0,8
2025-04-01T10:25:03.564833,21,male,1.84,0.522,111.213,164.267,32.154,2.054,2.392,0.96,9
2025-04-01T10:25:17.311680,21,male,1.84,0.522,101.255,159.856,36.097,2.156,2.517,1.04,10
2025-04-01T10:39:22.758050,21,male,1.84,0.522,110.598,173.875,40.108,1.471,1.716,7.84,1
2025-04-01T10:39:45.037680,21,male,1.84,0.522,106.551,176.179,41.836,1.683,1.783,1.56,2
2025-04-01T10:40:00.609104,21,male,1.84,0.522,112.568,170.188,34.531,1.384,1.633,1.48,3
2025-04-01T10:40:31.320814,21,male,1.84,0.522,111.365,171.688,35.506,1.728,2.648,1.36,4
2025-04-01T10:40:48.040812,21,male,1.84,0.522,108.077,172.816,38.414,1.536,1.636,1.56,5
