start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-03T12:26:16.213387,21,male,1.84,0.299,74.52,149.54,40.839,1.304,1.362,0.72,1
2025-04-03T12:26:32.413972,21,male,1.84,0.299,73.113,146.965,40.594,1.295,1.395,0.76,2
2025-04-03T12:26:49.042001,21,male,1.84,0.299,74.037,151.955,43.615,1.317,1.417,0.76,3
2025-04-03T12:27:04.855736,21,male,1.84,0.299,76.103,149.408,40.477,1.288,1.388,0.76,4
2025-04-03T12:27:21.101423,21,male,1.84,0.299,73.09,148.293,41.697,1.347,1.447,0.72,5
2025-04-03T12:27:49.533084,21,male,1.84,0.299,72.605,146.578,41.014,1.211,1.311,0.8,6
2025-04-03T12:28:32.652778,21,male,1.84,0.299,73.539,148.64,41.492,1.292,1.392,0.76,7
2025-04-03T12:28:48.868259,21,male,1.84,0.299,72.288,148.836,42.756,1.363,1.463,0.72,8
2025-04-03T12:29:05.742006,21,male,1.84,0.299,73.434,150.876,43.322,1.418,1.518,0.72,9
2025-04-03T12:29:23.066869,21,male,1.84,0.299,72.897,148.746,42.068,1.3,1.4,0.76,10
2025-04-03T12:29:42.250655,21,male,1.84,0.299,73.052,145.832,40.441,1.29,1.39,0.76,11
2025-04-03T12:30:04.695463,21,male,1.84,0.299,72.768,150.032,42.643,1.354,1.454,0.76,12
