start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-03-31T05:27:57.311130,21,male,1.68,0.27,107.12,138.15,12.118,0.42,0.82,0.4,1
2025-03-31T05:28:04.469466,21,male,1.68,0.27,120.31,147.15,11.604,0.45,0.97,0.4,2
2025-03-31T05:28:10.054905,21,male,1.68,0.27,100.06,147.87,18.888,0.63,1.09,0.44,3
2025-03-31T05:28:15.506593,21,male,1.68,0.27,103.24,140.29,14.603,0.58,1.26,0.4,4
2025-03-31T05:28:20.836619,21,male,1.68,0.27,103.18,142.2,16.229,0.59,1.02,0.4,5
2025-03-31T05:28:26.401481,21,male,1.68,0.27,107.44,141.0,13.786,0.61,1.24,0.36,6
2025-03-31T05:28:31.682861,21,male,1.68,0.27,118.4,148.38,12.775,0.5,1.1,0.4,7
2025-03-31T05:28:36.516061,21,male,1.68,0.27,103.04,139.05,15.06,0.59,0.98,0.4,8
2025-03-31T05:28:40.176069,21,male,1.68,0.27,102.09,147.44,17.933,0.58,1.21,0.44,9
2025-03-31T05:28:47.567400,21,male,1.68,0.27,111.71,145.15,13.841,0.51,1.24,0.4,10
2025-03-31T05:29:12.464057,21,male,1.68,0.27,115.21,146.51,11.423,0.41,1.09,0.36,1
2025-03-31T05:29:18.937356,21,male,1.68,0.27,107.47,143.61,14.474,0.59,1.09,0.36,2
2025-03-31T05:29:24.507823,21,male,1.68,0.27,100.31,143.39,16.715,0.59,0.83,0.44,3
2025-03-31T05:29:29.824264,21,male,1.68,0.27,102.21,149.37,18.911,0.69,1.07,0.36,4
2025-03-31T05:29:34.844656,21,male,1.68,0.27,106.59,141.24,14.218,0.56,1.04,0.4,5
2025-03-31T05:29:40.065701,21,male,1.68,0.27,103.13,136.84,13.859,0.55,0.93,0.4,6
2025-03-31T05:29:45.263407,21,male,1.68,0.27,100.32,147.95,18.546,0.7,1.28,0.4,7
2025-03-31T05:29:50.295437,21,male,1.68,0.27,100.4,149.09,19.059,0.62,0.95,0.36,8
2025-03-31T05:29:55.312822,21,male,1.68,0.27,99.87,145.34,18.152,0.7,1.13,0.4,9
2025-03-31T05:30:00.547166,21,male,1.68,0.27,102.42,142.38,16.897,0.59,1.06,0.4,10
2025-03-31T05:30:06.661672,21,male,1.68,0.27,109.46,148.7,13.974,0.37,0.97,0.36,11
2025-03-31T05:30:15.364610,21,male,1.68,0.27,123.51,145.87,9.794,0.37,0.82,0.4,12
2025-03-31T07:18:03.551747,21,male,1.68,0.27,83.03,137.13,22.613,0.75,2.0,0.44,1
2025-03-31T07:19:58.266518,21,male,1.68,0.27,88.61,149.21,23.642,0.4,0.83,0.84,1
2025-03-31T07:20:15.738318,21,male,1.68,0.27,83.47,147.31,25.102,0.42,0.78,0.88,2
2025-03-31T07:20:31.496735,21,male,1.68,0.27,76.88,151.42,29.439,0.46,0.93,0.92,3
2025-03-31T07:20:47.125097,21,male,1.68,0.27,93.06,151.66,23.043,0.39,1.0,0.84,4
2025-03-31T07:21:03.679582,21,male,1.68,0.27,83.82,142.74,23.468,0.44,1.01,0.84,5
2025-03-31T07:21:19.982611,21,male,1.68,0.27,93.5,151.62,22.608,0.37,0.71,0.84,6
2025-03-31T07:21:34.804573,21,male,1.68,0.27,87.64,146.08,23.019,0.39,0.69,0.84,7
2025-03-31T07:21:49.941680,21,male,1.68,0.27,94.51,139.85,17.42,0.35,0.74,0.8,8
2025-03-31T07:22:07.278100,21,male,1.68,0.27,90.85,150.58,23.468,0.39,0.81,0.84,9
2025-03-31T07:22:26.148522,21,male,1.68,0.27,94.58,146.66,20.283,0.37,0.62,0.8,10
2025-03-31T07:22:43.596373,21,male,1.68,0.27,96.54,145.53,18.996,0.35,0.87,0.8,11
