start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-04T13:04:58.211594,21,male,1.68,0.741,64.102,161.938,30.81,0.827,2.985,0.56,1
2025-04-04T13:06:09.777038,21,male,1.68,0.741,69.036,137.963,21.716,0.68,2.546,0.52,2
2025-04-04T13:07:15.497866,21,male,1.68,0.741,112.512,167.453,15.076,0.441,3.046,0.44,3
2025-04-04T13:08:30.487197,21,male,1.68,0.741,77.182,161.235,26.641,0.788,3.279,0.48,4
2025-04-04T13:09:39.352099,21,male,1.68,0.741,41.502,158.993,35.77,1.053,3.3,0.56,5
2025-04-04T13:10:44.750643,21,male,1.68,0.741,49.976,134.236,28.759,0.849,3.3,0.56,6
2025-04-04T13:11:45.299189,21,male,1.68,0.741,45.7,157.309,34.7,0.834,3.293,0.6,7
2025-04-04T13:12:44.178258,21,male,1.68,0.741,79.848,165.874,26.792,0.638,3.3,0.56,8
2025-04-04T13:13:50.110574,21,male,1.68,0.741,77.285,167.417,27.655,0.635,3.3,0.64,9
2025-04-04T13:14:49.826408,21,male,1.68,0.741,31.84,136.524,30.466,0.909,3.3,0.6,10
2025-04-04T13:15:58.045918,21,male,1.68,0.741,39.876,159.13,36.907,0.964,3.3,0.6,11
2025-04-04T13:16:56.302204,21,male,1.68,0.741,48.03,168.11,39.327,1.14,3.3,0.52,12
2025-04-04T13:18:01.298721,21,male,1.68,0.741,52.91,157.668,32.962,0.83,3.3,0.56,13
2025-04-04T13:19:46.298543,21,male,1.68,0.741,49.428,157.881,34.758,0.909,3.3,0.56,14
2025-04-04T13:21:38.175738,21,male,1.68,0.741,45.626,167.339,38.848,0.876,3.3,0.68,15
