start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-06T12:07:12.100886,21,male,1.68,0.668,70.571,138.987,31.924,1.342,1.442,0.68,1
2025-04-06T12:08:09.744556,21,male,1.68,0.668,78.227,136.575,27.919,1.292,1.392,0.64,2
2025-04-06T12:09:03.115332,21,male,1.68,0.668,75.785,138.437,29.267,1.158,1.258,0.72,3
2025-04-06T12:09:58.557285,21,male,1.68,0.668,82.464,139.26,26.478,1.08,1.18,0.72,4
2025-04-06T12:10:53.928139,21,male,1.68,0.668,78.838,136.418,26.451,1.122,1.222,0.64,5
2025-04-06T12:11:49.065752,21,male,1.68,0.668,75.328,139.911,29.582,1.144,1.244,0.72,6
2025-04-06T12:12:45.679077,21,male,1.68,0.668,77.705,131.287,24.956,1.068,1.168,0.68,7
2025-04-06T12:13:20.893543,21,male,1.68,0.668,69.348,137.252,32.675,1.89,2.463,0.52,8
2025-04-06T12:14:24.138071,21,male,1.68,0.668,74.312,131.781,26.643,1.065,1.165,0.76,9
2025-04-06T12:15:13.786823,21,male,1.68,0.668,73.671,132.782,28.089,1.283,1.383,0.68,10
2025-04-06T12:15:53.500956,21,male,1.68,0.668,69.719,134.139,30.823,2.341,2.441,0.36,11
