start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-02T09:13:18.986446,21,male,1.84,0.706,61.034,131.708,38.328,2.6,2.9,0.24,1
2025-04-02T09:13:33.073034,21,male,1.84,0.706,50.563,133.728,40.85,2.6,2.9,0.28,2
2025-04-02T09:13:53.917111,21,male,1.84,0.706,54.199,111.44,29.459,2.6,2.9,0.2,3
2025-04-02T09:14:11.227325,21,male,1.84,0.706,55.294,124.052,33.675,2.6,2.9,0.24,4
2025-04-02T09:14:38.782073,21,male,1.84,0.706,54.719,124.476,34.095,2.6,2.9,0.24,5
2025-04-02T09:15:08.917627,21,male,1.84,0.706,46.734,127.648,39.962,2.6,2.9,0.24,6
2025-04-02T09:15:35.575043,21,male,1.84,0.706,24.573,120.573,45.64,2.6,2.9,0.24,7
2025-04-02T09:15:56.605660,21,male,1.84,0.706,47.523,134.614,41.798,2.6,2.9,0.24,8
2025-04-02T09:16:13.230701,21,male,1.84,0.706,51.977,122.521,35.118,2.6,2.9,0.24,9
2025-04-02T09:16:29.946111,21,male,1.84,0.706,52.513,129.565,39.68,2.6,2.9,0.24,10
2025-04-02T09:16:47.128288,21,male,1.84,0.706,58.151,138.418,37.921,2.6,2.9,0.24,11
2025-04-02T09:17:01.882650,21,male,1.84,0.706,38.062,138.546,58.787,2.6,2.9,0.2,12
2025-04-02T09:17:17.857754,21,male,1.84,0.706,51.59,98.856,23.719,2.6,2.848,0.16,13
2025-04-02T09:17:45.542758,21,male,1.84,0.706,38.397,110.006,35.241,2.6,2.9,0.2,14
2025-04-02T09:22:09.851969,21,male,1.84,0.706,49.339,95.599,25.108,2.6,2.9,0.16,1
2025-04-02T09:22:30.040516,21,male,1.84,0.706,29.506,107.633,39.697,2.6,2.9,0.24,2
2025-04-02T09:22:50.515231,21,male,1.84,0.706,58.553,139.105,41.803,2.6,2.9,0.24,3
2025-04-02T09:23:06.789072,21,male,1.84,0.706,41.332,135.262,49.544,2.6,2.9,0.24,4
2025-04-02T09:23:21.276507,21,male,1.84,0.706,62.111,119.822,29.406,2.6,2.9,0.24,5
2025-04-02T09:23:43.589470,21,male,1.84,0.706,58.186,114.37,27.198,2.6,2.9,0.2,6
2025-04-02T09:24:01.071899,21,male,1.84,0.706,78.648,128.643,21.651,2.548,2.9,0.28,7
2025-04-02T09:24:15.439983,21,male,1.84,0.706,52.627,136.488,42.278,2.6,2.9,0.28,8
2025-04-02T09:24:31.096657,21,male,1.84,0.706,48.535,123.548,31.747,2.6,2.9,0.28,9
2025-04-02T09:24:49.623419,21,male,1.84,0.706,61.497,136.966,31.658,2.6,2.9,0.16,10
2025-04-02T09:25:05.868680,21,male,1.84,0.706,63.173,136.438,34.232,2.6,2.9,0.28,11
