start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-03T11:57:30.332700,21,male,1.84,0.5,122.536,170.33,95.394,2.108,3.3,0.72,1
2025-04-03T11:57:48.396172,21,male,1.84,0.5,124.417,169.795,90.202,1.998,3.16,0.72,2
2025-04-03T11:58:06.560448,21,male,1.84,0.5,120.512,168.027,94.904,1.852,2.302,0.72,3
2025-04-03T11:58:23.330001,21,male,1.84,0.5,121.875,170.261,96.918,1.997,2.659,0.72,4
2025-04-03T11:58:40.158451,21,male,1.84,0.5,122.854,169.601,92.581,1.896,2.223,0.72,5
2025-04-03T11:58:57.628487,21,male,1.84,0.5,121.943,168.87,94.016,2.212,3.165,0.72,6
2025-04-03T11:59:58.994410,21,male,1.84,0.5,120.701,169.179,97.105,2.005,2.624,0.76,7
2025-04-03T12:00:32.908300,21,male,1.84,0.5,121.741,168.712,92.475,1.943,2.767,0.72,8
2025-04-03T12:00:50.514169,21,male,1.84,0.5,121.025,166.692,89.968,1.85,2.952,0.76,9
2025-04-03T12:01:07.256939,21,male,1.84,0.5,121.439,170.068,96.909,2.063,3.3,0.72,10
