start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-01T07:20:48.083879,21,male,1.84,0.5,124.743,173.101,96.691,1.924,2.278,0.76,1
2025-04-01T07:21:07.169773,21,male,1.84,0.5,121.817,167.695,91.174,2.099,2.436,0.76,2
2025-04-01T07:21:25.426112,21,male,1.84,0.5,128.095,170.969,86.708,2.192,2.818,0.72,3
2025-04-01T07:21:43.738967,21,male,1.84,0.5,122.58,167.362,89.158,1.987,2.476,0.72,4
2025-04-01T07:22:02.326839,21,male,1.84,0.5,128.187,168.308,81.049,1.965,2.704,0.68,5
2025-04-01T07:22:19.447667,21,male,1.84,0.5,128.209,169.462,82.749,2.057,2.546,0.72,6
2025-04-01T07:22:35.893852,21,male,1.84,0.5,125.767,168.42,86.232,2.037,2.541,0.72,7
2025-04-01T07:22:53.082300,21,male,1.84,0.5,127.12,171.654,90.485,2.158,2.721,0.72,8
2025-04-01T07:23:10.555858,21,male,1.84,0.5,121.761,171.264,99.153,2.173,2.675,0.76,9
2025-04-01T07:23:28.525418,21,male,1.84,0.5,120.456,167.83,95.547,2.048,2.834,0.72,10
2025-04-01T07:24:37.426139,21,male,1.84,0.5,124.553,169.346,89.386,1.869,2.296,0.64,1
2025-04-01T07:24:53.299937,21,male,1.84,0.5,126.062,168.393,88.925,2.408,2.9,0.68,2
2025-04-01T07:25:08.597864,21,male,1.84,0.5,127.232,167.362,81.94,2.168,2.88,0.68,3
2025-04-01T07:25:25.372730,21,male,1.84,0.5,120.578,167.368,93.124,2.258,2.584,0.68,4
2025-04-01T07:25:41.063808,21,male,1.84,0.5,120.473,167.513,94.469,2.479,2.9,0.72,5
2025-04-01T07:25:56.615776,21,male,1.84,0.5,127.51,170.619,88.364,2.243,2.711,0.68,6
2025-04-01T07:26:13.193228,21,male,1.84,0.5,124.862,169.625,91.586,2.39,2.9,0.68,7
2025-04-01T07:26:29.558615,21,male,1.84,0.5,126.35,170.78,87.213,2.105,2.9,0.64,8
2025-04-01T07:26:47.011590,21,male,1.84,0.5,125.98,169.427,87.298,2.13,2.757,0.68,9
2025-04-01T07:27:03.386234,21,male,1.84,0.5,122.786,169.194,93.817,2.172,2.791,0.72,10
2025-04-01T07:28:34.003218,21,male,1.84,0.5,131.107,140.361,17.955,1.828,1.969,0.08,1
2025-04-01T07:30:09.111605,21,male,1.84,0.5,120.182,140.533,41.349,0.619,1.062,0.56,2
2025-04-01T07:32:24.180845,21,male,1.84,0.5,122.081,149.801,53.966,1.205,1.305,0.44,1
2025-04-01T07:32:41.823946,21,male,1.84,0.5,122.759,146.585,43.309,1.586,2.9,0.4,2
2025-04-01T07:32:58.618449,21,male,1.84,0.5,120.62,142.489,42.534,0.723,1.185,0.52,3
2025-04-01T07:33:15.569489,21,male,1.84,0.5,125.058,142.105,35.333,0.654,0.754,0.44,4
2025-04-01T07:33:48.626282,21,male,1.84,0.5,120.946,156.29,69.518,1.287,1.391,0.44,5
2025-04-01T07:34:26.849655,21,male,1.84,0.5,120.004,162.673,88.346,0.878,2.501,1.16,6
2025-04-01T07:34:39.186833,21,male,1.84,0.5,121.148,154.428,67.346,1.294,1.848,0.6,7
2025-04-01T07:34:54.925289,21,male,1.84,0.5,124.467,146.252,45.062,0.925,1.142,0.52,8
2025-04-01T07:35:11.486871,21,male,1.84,0.5,136.477,156.095,42.309,1.519,1.624,0.4,9
2025-04-01T07:36:00.210649,21,male,1.84,0.5,121.128,145.895,49.329,1.027,1.252,0.6,10
