start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-03T08:06:30.404597,21,male,1.84,0.781,83.625,169.328,54.473,1.344,1.579,1.24,1
2025-04-03T08:06:51.281806,21,male,1.84,0.781,86.404,168.683,52.383,1.28,1.767,1.2,2
2025-04-03T08:07:10.757019,21,male,1.84,0.781,85.464,163.309,49.506,1.401,1.61,1.08,3
2025-04-03T08:07:30.297543,21,male,1.84,0.781,86.06,166.735,51.589,1.428,1.674,1.08,4
2025-04-03T08:07:50.183725,21,male,1.84,0.781,85.007,168.618,53.459,1.48,1.534,1.08,5
2025-04-03T08:08:10.504004,21,male,1.84,0.781,82.596,168.317,54.947,1.421,1.505,1.12,6
2025-04-03T08:08:30.592070,21,male,1.84,0.781,83.526,163.057,49.858,1.39,1.67,1.08,7
2025-04-03T08:08:50.319623,21,male,1.84,0.781,86.924,163.624,48.837,1.356,1.772,1.08,8
2025-04-03T08:09:09.257136,21,male,1.84,0.781,85.754,165.347,51.023,1.429,1.699,1.08,9
2025-04-03T08:09:28.763583,21,male,1.84,0.781,85.124,166.974,52.631,1.605,1.924,0.96,10
