start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-03-28T10:09:20.276221,21,male,1.68,0.74,101.9,169.68,41.088,1.22,2.0,1.0,1
2025-03-28T10:09:25.327089,21,male,1.68,0.74,102.19,159.69,35.585,1.29,1.8,0.9,2
2025-03-28T10:09:30.979155,21,male,1.68,0.74,102.7,168.21,40.259,1.23,2.0,0.9,3
2025-03-28T10:09:36.887610,21,male,1.68,0.74,96.14,169.4,44.348,1.36,1.81,0.93,4
2025-03-28T10:09:42.365476,21,male,1.68,0.74,97.93,164.66,40.471,1.3,1.61,0.87,5
2025-03-28T10:09:47.777368,21,male,1.68,0.74,100.51,166.69,39.04,1.41,1.9,0.83,6
2025-03-28T10:09:53.580929,21,male,1.68,0.74,92.09,161.0,41.489,1.35,1.57,0.93,7
2025-03-28T10:09:59.101165,21,male,1.68,0.74,99.71,166.2,41.064,1.37,1.98,0.9,8
2025-03-28T10:10:06.013048,21,male,1.68,0.74,100.32,169.84,40.945,1.25,2.0,0.87,9
2025-03-28T10:10:12.520606,21,male,1.68,0.74,92.45,165.77,43.83,1.49,1.8,0.9,10
2025-03-28T10:10:46.539856,21,male,1.68,0.74,103.63,166.94,39.09,1.29,1.32,0.88,1
2025-03-28T10:10:52.253452,21,male,1.68,0.74,98.06,167.53,42.996,1.35,1.46,0.92,2
2025-03-28T10:10:57.604450,21,male,1.68,0.74,101.54,167.51,39.005,1.17,1.55,0.96,3
2025-03-28T10:11:02.503529,21,male,1.68,0.74,101.59,169.79,39.944,1.14,1.51,1.04,4
2025-03-28T10:11:08.065570,21,male,1.68,0.74,96.81,169.95,44.831,1.32,1.43,0.92,5
2025-03-28T10:11:13.508849,21,male,1.68,0.74,99.6,168.71,41.397,1.25,1.49,0.92,6
2025-03-28T10:11:19.519058,21,male,1.68,0.74,96.6,167.29,43.128,1.35,1.45,0.92,7
2025-03-28T10:11:25.181476,21,male,1.68,0.74,94.61,165.96,42.213,1.35,1.46,0.92,8
2025-03-28T10:11:31.170116,21,male,1.68,0.74,99.78,167.77,40.963,1.25,1.31,0.96,9
2025-03-28T10:11:37.526409,21,male,1.68,0.74,94.97,162.21,40.643,1.4,1.58,0.92,10
2025-03-28T10:18:08.063486,21,male,1.68,0.74,103.63,166.94,39.09,1.29,1.32,0.88,1
2025-03-28T10:18:14.093295,21,male,1.68,0.74,98.06,167.53,42.996,1.35,1.46,0.92,2
2025-03-28T10:18:19.870736,21,male,1.68,0.74,101.54,167.51,39.005,1.17,1.55,0.96,3
2025-03-28T10:18:25.419817,21,male,1.68,0.74,101.59,169.79,39.944,1.14,1.51,1.04,4
2025-03-28T10:18:31.435841,21,male,1.68,0.74,96.81,169.95,44.831,1.32,1.43,0.92,5
2025-03-28T10:18:37.292455,21,male,1.68,0.74,99.6,168.71,41.397,1.25,1.49,0.92,6
2025-03-28T10:18:43.793572,21,male,1.68,0.74,96.6,167.29,43.128,1.35,1.45,0.92,7
2025-03-28T10:18:49.855394,21,male,1.68,0.74,94.61,165.96,42.213,1.35,1.46,0.92,8
2025-03-28T10:18:56.285828,21,male,1.68,0.74,99.78,167.77,40.963,1.25,1.31,0.96,9
2025-03-28T10:19:03.233932,21,male,1.68,0.74,94.97,162.21,40.643,1.4,1.58,0.92,10
2025-03-31T07:27:44.219810,21,male,1.84,0.78,83.63,169.33,54.473,1.34,1.58,1.24,1
2025-03-31T07:28:05.816059,21,male,1.84,0.78,86.4,168.68,52.383,1.28,1.77,1.2,2
2025-03-31T07:28:24.430863,21,male,1.84,0.78,85.46,163.31,49.506,1.4,1.61,1.08,3
2025-03-31T07:28:43.552361,21,male,1.84,0.78,86.06,166.73,51.589,1.43,1.67,1.08,4
2025-03-31T07:29:02.526175,21,male,1.84,0.78,85.01,168.62,53.459,1.48,1.53,1.08,5
2025-03-31T07:29:22.195678,21,male,1.84,0.78,82.6,168.32,54.947,1.42,1.5,1.12,6
2025-03-31T07:29:41.368325,21,male,1.84,0.78,83.53,163.06,49.858,1.39,1.67,1.08,7
2025-03-31T07:30:02.071614,21,male,1.84,0.78,86.92,163.62,48.837,1.36,1.77,1.08,8
2025-03-31T07:30:21.951800,21,male,1.84,0.78,85.75,165.35,51.023,1.43,1.7,1.08,9
2025-03-31T07:30:42.283846,21,male,1.84,0.78,85.12,166.97,52.631,1.61,1.92,0.96,10
2025-03-31T07:31:42.661896,21,male,1.84,0.78,86.15,166.44,51.119,1.4,1.66,1.12,1
2025-03-31T07:32:04.756536,21,male,1.84,0.78,85.18,169.13,53.319,1.42,1.49,1.12,2
2025-03-31T07:32:22.813798,21,male,1.84,0.78,86.63,163.69,49.537,1.38,1.77,1.08,3
2025-03-31T07:32:40.958000,21,male,1.84,0.78,88.01,167.99,51.11,1.44,1.44,1.0,4
2025-03-31T07:32:58.815636,21,male,1.84,0.78,87.51,169.8,52.423,1.41,1.55,1.04,5
2025-03-31T07:33:17.238974,21,male,1.84,0.78,82.96,166.1,53.196,1.44,1.74,1.08,6
2025-03-31T07:33:36.033555,21,male,1.84,0.78,80.77,164.46,53.278,1.45,1.77,1.08,7
2025-03-31T07:33:54.500048,21,male,1.84,0.78,83.8,168.12,54.175,1.52,1.6,1.04,8
2025-03-31T07:34:12.498926,21,male,1.84,0.78,83.67,166.27,52.978,1.51,1.71,1.04,9
2025-03-31T07:34:30.659868,21,male,1.84,0.78,87.16,165.71,50.35,1.39,1.49,1.04,10
2025-03-31T07:34:49.446785,21,male,1.84,0.78,83.03,168.58,54.771,1.47,1.57,1.08,11
2025-03-31T07:49:39.436826,21,male,1.84,0.781,86.151,166.445,51.119,1.396,1.655,1.12,1
2025-03-31T07:49:58.383045,21,male,1.84,0.781,85.179,169.134,53.319,1.424,1.485,1.12,2
2025-03-31T07:50:16.109030,21,male,1.84,0.781,86.63,163.695,49.537,1.384,1.767,1.08,3
