start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-09T12:49:44.497980,21,male,1.84,0.706,44.364,89.256,76.255,1.626,2.443,0.64,1
2025-04-09T12:51:15.452176,21,male,1.84,0.706,48.503,104.16,94.404,2.058,3.192,0.68,2
2025-04-09T12:52:43.988114,21,male,1.84,0.706,35.964,101.454,110.708,2.117,3.3,0.68,3
2025-04-09T12:54:20.739434,21,male,1.84,0.706,37.482,109.678,121.661,2.026,3.029,0.8,4
2025-04-09T12:55:44.431278,21,male,1.84,0.706,39.123,110.19,119.319,2.17,3.22,0.76,5
2025-04-09T12:57:17.816260,21,male,1.84,0.706,39.421,113.697,124.992,2.321,3.3,0.76,6
2025-04-09T12:58:54.125202,21,male,1.84,0.706,45.858,116.212,119.081,2.137,2.801,0.8,7
2025-04-09T13:00:28.205047,21,male,1.84,0.706,40.668,108.356,114.413,2.011,3.048,0.76,8
2025-04-09T13:01:50.821871,21,male,1.84,0.706,36.663,110.818,124.92,2.207,3.23,0.76,9
2025-04-09T13:03:07.924129,21,male,1.84,0.706,41.998,110.788,115.645,2.151,2.916,0.72,10
2025-04-09T13:04:10.778491,21,male,1.84,0.706,39.757,107.826,114.646,1.908,2.825,0.84,11
2025-04-09T13:04:58.902620,21,male,1.84,0.706,35.467,110.183,126.065,1.992,2.846,0.84,12
2025-04-09T13:05:44.076747,21,male,1.84,0.706,36.455,117.446,136.763,2.266,3.096,0.84,13
2025-04-09T13:06:32.650856,21,male,1.84,0.706,40.172,117.219,129.856,2.012,3.085,0.92,14
2025-04-09T13:06:53.366949,21,male,1.84,0.706,35.368,35.368,0.0,0.0,0.0,0.0,15
