start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-02T11:27:33.543647,21,male,1.84,0.706,49.544,163.346,174.743,2.6,3.3,0.4,1
2025-04-02T11:27:48.579882,21,male,1.84,0.706,58.521,167.222,200.165,2.6,3.3,0.64,2
2025-04-02T11:28:04.244340,21,male,1.84,0.706,37.518,174.121,248.713,2.6,3.3,0.8,3
2025-04-02T11:28:18.551291,21,male,1.84,0.706,46.649,169.237,226.922,2.6,3.3,0.68,4
2025-04-02T11:28:32.300570,21,male,1.84,0.706,41.497,173.038,231.516,2.6,3.3,0.68,5
2025-04-02T11:28:47.247256,21,male,1.84,0.706,49.252,175.62,212.353,2.6,3.3,0.68,6
2025-04-02T11:29:02.062744,21,male,1.84,0.706,46.095,171.91,226.922,2.6,3.3,0.72,7
2025-04-02T11:29:16.991468,21,male,1.84,0.706,35.771,171.776,239.019,2.6,3.3,0.72,8
2025-04-02T11:29:31.200909,21,male,1.84,0.706,60.155,171.439,181.301,2.6,3.3,0.64,9
2025-04-02T11:29:45.687827,21,male,1.84,0.706,60.114,172.233,202.932,2.6,3.3,0.68,10
2025-04-02T11:29:59.848618,21,male,1.84,0.706,54.802,172.15,210.135,2.6,3.3,0.64,11
2025-04-02T11:30:53.036472,21,male,1.84,0.706,52.927,156.256,187.963,2.6,3.3,0.4,1
2025-04-02T11:31:05.734458,21,male,1.84,0.706,54.619,163.808,204.408,2.6,3.3,0.56,2
2025-04-02T11:31:13.332431,21,male,1.84,0.706,39.403,39.403,0.0,0.0,0.0,0.0,3
2025-04-02T11:31:32.623220,21,male,1.84,0.706,41.358,164.681,226.257,2.6,3.3,0.64,4
2025-04-02T11:31:45.542961,21,male,1.84,0.706,47.719,167.066,217.856,2.6,3.3,0.64,5
2025-04-02T11:31:58.047904,21,male,1.84,0.706,42.123,164.567,222.451,2.6,3.3,0.6,6
2025-04-02T11:32:11.710280,21,male,1.84,0.706,47.946,167.25,220.524,2.6,3.3,0.68,7
2025-04-02T11:32:24.671295,21,male,1.84,0.706,40.461,169.116,234.046,2.6,3.3,0.64,8
2025-04-02T11:32:37.554214,21,male,1.84,0.706,55.562,166.024,201.794,2.6,3.3,0.64,9
2025-04-02T11:32:50.826902,21,male,1.84,0.706,53.545,167.35,211.521,2.6,3.3,0.64,10
2025-04-02T11:33:04.074185,21,male,1.84,0.706,45.041,167.364,223.37,2.6,3.3,0.68,11
2025-04-02T11:33:17.862129,21,male,1.84,0.706,57.47,169.411,212.181,2.6,3.3,0.72,12
