Ejercicio,Métrica,Tipo Modelo,Repeticiones TEM2,Repeticiones TOTALES,Post Limpieza,Total Eliminadas,R2 (%),APE (%),MAE
PesoMuerto,Vmax,Conv2D,12214,13751,11107,2644,57.24%,2.68%,0.0294
PesoMuerto,Vmax,NN,12214,13751,11107,2644,82.15%,7.91%,0.0774
PesoMuerto,Vmed,Conv2D,12214,13751,11107,2644,73.57%,4.44%,0.032
PesoMuerto,Vmed,NN,12214,13751,11107,2644,76.60%,8.269%,0.058
PesoMuerto,ROM,Conv2D,12214,13751,11107,2644,81.50%,4.69%,1.879
PesoMuerto,ROM,NN,12214,13751,11107,2644,56.72%,8.280%,3.449
PajaroBanco,Vmax,Conv2D,10604,12920,9980,2940,54.89%,4.49%,0.0932
PajaroBanco,Vmax,NN,10604,12920,9980,2940,81.20%,3.16%,0.0641
PajaroBanco,Vmed,Conv2D,10604,12920,9980,2940,70.32%,5.95%,0.091
PajaroBanco,Vmed,NN,10604,12920,9980,2940,82.31%,4.811%,0.071
PajaroBanco,ROM,Conv2D,10604,12920,9980,2940,67.23%,6.67%,3.604
PajaroBanco,ROM,NN,10604,12920,9980,2940,78.40%,5.600%,3.056
JalonPoleaEspalda,Vmax,Conv2D,9681,5718,5445,273,80.83%,1.83%,0.0302
JalonPoleaEspalda,Vmax,NN,9681,5718,5445,273,70.72%,2.76%,0.0463
JalonPoleaEspalda,Vmed,Conv2D,9681,5718,5445,273,82.18%,2.31%,0.021
JalonPoleaEspalda,Vmed,NN,9681,5718,5445,273,53.06%,4.665%,0.043
JalonPoleaEspalda,ROM,Conv2D,9681,5718,5445,273,5.02%,5.22%,2.946
JalonPoleaEspalda,ROM,NN,9681,5718,5445,273,50.18%,3.502%,2.014
ExtensionPierna,Vmax,Conv2D,7702,8959,8909,50,53.55%,8.35%,0.1011
ExtensionPierna,Vmax,NN,7702,8959,8909,50,80.70%,5.19%,0.0628
ExtensionPierna,Vmed,Conv2D,7702,8959,8909,50,8.00%,10.33%,0.069
ExtensionPierna,Vmed,NN,7702,8959,8909,50,49.89%,6.817%,0.048
ExtensionPierna,ROM,Conv2D,7702,8959,8909,50,80.79%,8.81%,3.787
ExtensionPierna,ROM,NN,7702,8959,8909,50,91.27%,5.417%,2.423
RemoPolea,Vmax,Conv2D,6979,5558,5558,0,90.75%,1.44%,0.0258
RemoPolea,Vmax,NN,6979,5558,5558,0,39.74%,3.406%,0.057
RemoPolea,Vmed,Conv2D,6979,5558,5558,0,86.66%,3.21%,0.037
RemoPolea,Vmed,NN,6979,5558,5558,0,56.91%,5.725%,0.064
RemoPolea,ROM,Conv2D,6979,5558,5558,0,77.32%,3.98%,2.485
RemoPolea,ROM,NN,6979,5558,5558,0,65.40%,4.938%,3.027
AduccionCadera,Vmax,Conv2D,5935,4917,4917,0,92.51%,4.17%,0.028
AduccionCadera,Vmax,NN,5935,4917,4917,0,89.98%,4.66%,0.0316
AduccionCadera,Vmed,Conv2D,5935,4917,4917,0,92.00%,6.07%,0.025
AduccionCadera,Vmed,NN,5935,4917,4917,0,92.00%,6.139%,0.026
AduccionCadera,ROM,Conv2D,5935,4917,4917,0,93.41%,5.11%,1.404
AduccionCadera,ROM,NN,5935,4917,4917,0,81.76%,7.565%,2.217
Sentadilla,Vmax,Conv2D,5591,5226,4999,227,71.13%,2.70%,0.0287
Sentadilla,Vmax,NN,5591,5226,4999,227,76.77%,7.93%,0.0844
Sentadilla,Vmed,Conv2D,5591,5226,4999,227,69.40%,2.89%,0.022
Sentadilla,Vmed,NN,5591,5226,4999,227,78.39%,8.748%,0.061
Sentadilla,ROM,Conv2D,5591,5226,4999,227,85.01%,2.97%,1.237
Sentadilla,ROM,NN,5591,5226,4999,227,72.43%,9.437%,3.697
Crunch,Vmax,Conv2D,5554,5895,5193,702,52.88%,7.44%,0.0983
Crunch,Vmax,NN,5554,5895,5193,702,78.11%,8.64%,0.1377
Crunch,Vmed,Conv2D,5554,5895,5193,702,48.61%,8.98%,0.069
Crunch,Vmed,NN,5554,5895,5193,702,65.72%,10.676%,0.096
Crunch,ROM,Conv2D,5554,5895,5193,702,60.11%,5.34%,3.643
Crunch,ROM,NN,5554,5895,5193,702,80.68%,9.959%,5.642
CurlFemoral,Vmax,Conv2D,5327,7103,6982,121,87.29%,4.77%,0.0490
CurlFemoral,Vmax,NN,5327,7103,6982,121,82.33%,5.89%,0.0608
CurlFemoral,Vmed,Conv2D,5327,7103,6982,121,85.77%,3.40%,0.022
CurlFemoral,Vmed,NN,5327,7103,6982,121,51.20%,6.899%,0.043
CurlFemoral,ROM,Conv2D,5327,7103,6982,121,87.30%,6.90%,3.165
CurlFemoral,ROM,NN,5327,7103,6982,121,87.80%,6.442%,2.946
CurlBiceps,Vmax,Conv2D,5305,4769,4314,455,81.19%,2.83%,0.0464
CurlBiceps,Vmax,NN,5305,4769,4314,455,78.57%,7.76%,0.1134
CurlBiceps,Vmed,Conv2D,5305,4769,4314,455,61.34%,4.37%,0.039
CurlBiceps,Vmed,NN,5305,4769,4314,455,77.64%,13.660%,0.083
CurlBiceps,ROM,Conv2D,5305,4769,4314,455,30.54%,2.86%,1.670
CurlBiceps,ROM,NN,5305,4769,4314,455,43.80%,6.366%,3.643
